Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,IsInLap,IsOutLap,IsSC,IsVSC,Year,StartingPosition,LapTimeDelta,LapTime_lag1,LapTime_lag2,LapTime_lag3,PaceVsMedian,FuelLoad,GroudEffectEra,IsRestartLap
BOT,Mercedes,15.0,93.96,2.0,1.0,17.0,SOFT,False,1,,,True,52.4,27.4,39.3,False,False,False,False,False,2018,4.0,-0.13100000000000023,94.091,93.995,93.528,-1.3100000000000023,0.7115384615384616,False,False
BOT,Mercedes,16.0,93.794,2.0,1.0,18.0,SOFT,False,1,,,True,53.0,27.7,38.7,False,False,False,False,False,2018,4.0,-0.16599999999999682,93.96,94.091,93.995,-1.2600000000000051,0.6923076923076923,False,False
BOT,Mercedes,17.0,94.073,2.0,1.0,19.0,SOFT,False,1,,,True,52.9,27.5,39.1,False,False,False,False,False,2018,4.0,0.27899999999999636,93.794,93.96,94.091,-1.1690000000000111,0.6730769230769231,False,False
BOT,Mercedes,18.0,94.016,2.0,1.0,20.0,SOFT,False,1,,,True,52.9,27.6,38.6,False,False,False,False,False,2018,4.0,-0.05699999999998795,94.073,93.794,93.96,-1.1729999999999876,0.6538461538461539,False,False
BOT,Mercedes,19.0,93.876,2.0,1.0,21.0,SOFT,False,12,,,True,52.6,27.2,39.2,False,False,False,False,False,2018,4.0,-0.14000000000000057,94.016,94.073,93.794,-0.8849999999999909,0.6346153846153846,False,False
BOT,Mercedes,20.0,93.837,2.0,1.0,22.0,SOFT,False,12,,,True,53.4,27.1,39.6,False,False,False,False,False,2018,4.0,-0.03900000000000148,93.876,94.016,94.073,-0.7815000000000083,0.6153846153846154,False,False
BOT,Mercedes,21.0,93.608,1.0,1.0,23.0,SOFT,False,21,0 days 00:40:03.335000,,False,53.1,27.5,38.5,False,True,False,False,False,2018,4.0,-0.2289999999999992,93.837,93.876,94.016,-1.9299999999999926,0.5961538461538461,False,False
BOT,Mercedes,22.0,111.503,3.0,2.0,1.0,MEDIUM,True,1,,0 days 00:40:31.242000,False,53.1,27.6,39.0,False,False,True,False,False,2018,4.0,17.894999999999996,93.608,93.837,93.876,16.682000000000002,0.5769230769230769,False,False
BOT,Mercedes,23.0,92.236,2.0,2.0,2.0,MEDIUM,True,1,,,True,53.2,27.8,38.3,False,False,False,False,False,2018,4.0,-19.266999999999996,111.503,93.608,93.837,-2.653499999999994,0.5576923076923077,False,False
BOT,Mercedes,24.0,92.671,2.0,2.0,3.0,MEDIUM,True,1,,,True,53.7,27.7,38.5,False,False,False,False,False,2018,4.0,0.4350000000000023,92.236,111.503,93.608,-2.0259999999999962,0.5384615384615384,False,False
