LapNumber,LapTime,Year,LapTime_Zscore
34.0,68.473,2021,-0.3468353695379189
35.0,68.728,2021,-0.3109941995435651
36.0,68.769,2021,-0.3052315016229027
37.0,68.904,2021,-0.2862567645670693
38.0,68.714,2021,-0.3129619500530585
39.0,68.641,2021,-0.32322236342399036
40.0,69.147,2021,-0.2521022378665656
41.0,68.887,2021,-0.28864617590002567
42.0,68.822,2021,-0.2977821604083902
43.0,68.887,2021,-0.28864617590002567
44.0,68.88,2021,-0.28963005115477336
45.0,69.429,2021,-0.2124661204610448
46.0,68.833,2021,-0.29623607072235986
47.0,68.81,2021,-0.2994688037022422
48.0,68.86,2021,-0.29244112331119276
49.0,68.769,2021,-0.3052315016229027
50.0,68.61,2021,-0.32757952526644213
51.0,68.439,2021,-0.3516141922038336
52.0,68.489,2021,-0.34458651181278216
53.0,68.173,2021,-0.3890014518842177
54.0,68.237,2021,-0.38000602098367486
55.0,68.147,2021,-0.3926558456875631
56.0,68.012,2021,-0.41163058274339853
57.0,67.992,2021,-0.4144416548998179
58.0,67.835,2021,-0.43650857132771603
59.0,68.106,2021,-0.3984185436082256
60.0,71.722,2021,0.10982330227250142
61.0,85.09,2021,1.9887439316235975
62.0,66.2,2021,-0.6663137201150456
63.0,68.549,2021,-0.33615329534352195
64.0,68.172,2021,-0.38914200549203937
65.0,67.947,2021,-0.42076656725176304
66.0,67.95,2021,-0.4203449064283
67.0,67.78,2021,-0.44423901975786984
68.0,67.975,2021,-0.41683106623277627
69.0,67.86,2021,-0.4329947311321903
70.0,67.862,2021,-0.43271362391654894
71.0,67.737,2021,-0.45028282489417365
1.0,72.722,2022,0.25037691009349894
2.0,70.373,2022,-0.07978351467802276
3.0,70.165,2022,-0.10901866510479002
4.0,70.128,2022,-0.1142191485941678
5.0,70.26,2022,-0.09566607236179542
6.0,70.357,2022,-0.08203237240315948
7.0,70.559,2022,-0.053640543623318236
8.0,70.763,2022,-0.024967607627833656
9.0,70.847,2022,-0.013161104570871413
10.0,71.396,2022,0.06400282612285715
11.0,70.918,2022,-0.003181798415578879
12.0,71.912,2022,0.13652848775849263
13.0,74.194,2022,0.4572718208060085
14.0,87.886,2022,2.3817318190911054
15.0,70.365,2022,-0.08090794354059212
16.0,70.024,2022,-0.12883672380755143
17.0,70.361,2022,-0.0814701579718748
18.0,70.46,2022,-0.06755535079759752
19.0,69.895,2022,-0.1469681392164608
20.0,69.895,2022,-0.1469681392164608
21.0,69.936,2022,-0.14120544129579835
22.0,69.846,2022,-0.1538552659996886
23.0,70.103,2022,-0.11773298878969354
24.0,70.457,2022,-0.06797701162106053
25.0,70.715,2022,-0.031714180803241794
26.0,70.312,2022,-0.08835728475510461
27.0,70.355,2022,-0.08231347961880082
28.0,70.572,2022,-0.05181334672164453
29.0,70.485,2022,-0.06404151060207178
30.0,70.609,2022,-0.04661286323226876
31.0,70.897,2022,-0.006133424179819939
32.0,71.073,2022,0.018604010796673898
33.0,71.636,2022,0.09773569199989585
34.0,71.19,2022,0.03504878291173123
35.0,71.173,2022,0.03265937157877485
36.0,74.594,2022,0.5134932639344063
37.0,86.913,2022,2.244973158681275
38.0,69.226,2022,-0.24099850284870772
39.0,69.636,2022,-0.18337152364209922
40.0,69.809,2022,-0.15905574948906637
41.0,69.971,2022,-0.13628606502206392
42.0,69.84,2022,-0.15469858764661462
43.0,69.863,2022,-0.15146585466673224
44.0,69.642,2022,-0.1825282019951732
45.0,69.766,2022,-0.16509955462536816
46.0,70.104,2022,-0.11759243518187187
47.0,69.989,2022,-0.13375610008128586
48.0,70.17,2022,-0.10831589706568569
49.0,70.244,2022,-0.09791493008693214
50.0,70.347,2022,-0.08343790848137017
51.0,70.232,2022,-0.09960157338078417
52.0,70.193,2022,-0.10508316408580329
53.0,70.828,2022,-0.015831623119469136
54.0,70.265,2022,-0.09496330432269108
55.0,70.109,2022,-0.11688966714276752
56.0,69.733,2022,-0.16973782368346127
57.0,69.843,2022,-0.1542769268231516
58.0,84.577,2022,1.916639930811425
59.0,106.133,2022,4.946413501000848
60.0,69.218,2022,-0.24212293171127505
61.0,67.804,2022,-0.44086573317016575
62.0,67.275,2022,-0.515218591707473
63.0,67.938,2022,-0.42203154972215207
64.0,68.7,2022,-0.3149297005625519
65.0,68.58,2022,-0.33179613350107223
66.0,68.445,2022,-0.3507708705569076
67.0,68.537,2022,-0.337839938637374
68.0,68.9,2022,-0.28681897899835196
69.0,68.873,2022,-0.29061392640951905
70.0,68.169,2022,-0.3895636663155024
71.0,68.539,2022,-0.33755883142173265
1.0,77.639,2023,0.941478999749344
2.0,115.479,2023,6.260027519695891
3.0,124.721,2023,7.55902396317755
4.0,69.691,2023,-0.1756410752119434
5.0,70.026,2023,-0.1285556165919101
6.0,70.156,2023,-0.11028364757517906
7.0,70.168,2023,-0.10859700428132701
8.0,69.967,2023,-0.1368482794533486
9.0,69.989,2023,-0.13375610008128586
10.0,69.856,2023,-0.1524497299214799
11.0,70.051,2023,-0.12504177639638436
12.0,69.833,2023,-0.1556824629013623
13.0,70.196,2023,-0.10466150326234028
14.0,73.573,2023,0.3699880303491677
15.0,93.592,2023,3.1837307053177177
16.0,79.611,2023,1.2186507143723522
17.0,69.924,2023,-0.1428920845896504
18.0,70.002,2023,-0.13192890317961417
19.0,69.942,2023,-0.14036211964887432
20.0,70.16,2023,-0.10972143314389637
21.0,70.142,2023,-0.11225139808467442
22.0,70.337,2023,-0.08484344455957887
23.0,70.396,2023,-0.07655078169814036
24.0,73.519,2023,0.36239813552683553
25.0,86.769,2023,2.224733439155053
26.0,68.929,2023,-0.2827429243715436
27.0,69.245,2023,-0.238327984300108
28.0,69.251,2023,-0.23748466265318197
29.0,69.289,2023,-0.23214362555598453
30.0,69.373,2023,-0.2203371224990203
31.0,69.576,2023,-0.19180474011135937
32.0,69.603,2023,-0.1880097927001923
33.0,69.631,2023,-0.18407429168120354
34.0,69.779,2023,-0.16327235772369647
35.0,69.265,2023,-0.2355169121436886
36.0,69.367,2023,-0.22118044414594631
37.0,69.707,2023,-0.17339221748680866
38.0,69.568,2023,-0.19292916897392673
39.0,69.386,2023,-0.21850992559734858
40.0,69.431,2023,-0.21218501324540345
41.0,69.527,2023,-0.19869186689458718
42.0,69.511,2023,-0.2009407246197239
43.0,69.592,2023,-0.18955588238622267
44.0,69.678,2023,-0.1774682721136171
45.0,69.651,2023,-0.18126321952478416
46.0,69.563,2023,-0.19363193701303108
47.0,69.451,2023,-0.20937394108898408
48.0,69.419,2023,-0.2138716565392555
49.0,73.176,2023,0.3141882480442329
50.0,86.268,2023,2.154316081636732
51.0,68.15,2023,-0.3922341848641001
52.0,68.342,2023,-0.36524789216246956
53.0,68.235,2023,-0.3802871281993162
54.0,68.25,2023,-0.37817882408200115
55.0,68.273,2023,-0.37494609110211874
56.0,68.35,2023,-0.3641234632999022
57.0,68.412,2023,-0.3554091396149987
58.0,68.489,2023,-0.34458651181278216
59.0,68.609,2023,-0.3277200788742638
60.0,68.535,2023,-0.33812104585301733
61.0,68.485,2023,-0.34514872624406684
62.0,68.567,2023,-0.33362333040274594
63.0,68.624,2023,-0.32561177475694875
64.0,68.692,2023,-0.31605412942512123
65.0,68.878,2023,-0.2899111583704147
66.0,68.601,2023,-0.32884450773683116
67.0,68.854,2023,-0.2932844449581188
68.0,69.216,2023,-0.2424040389269184
69.0,72.228,2023,0.1809434278299262
70.0,87.83,2023,2.37386081705313
71.0,67.012,2023,-0.552184190564396
1.0,72.05,2024,0.15592488563778903
2.0,69.938,2024,-0.140924334080157
3.0,69.857,2024,-0.15230917631365823
4.0,69.903,2024,-0.14584371035389143
